country,score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,corruption
Congo (Kinshasa),-0.7499795425401519,-2.098967009983341,0.037280481356156275,-2.1539751433471213,-1.3442245303042222,0.08718079822439341,-0.5596063971061865
Nepal,-0.7525996066849341,-1.2060088218552438,-0.46464872802565704,-0.24898787134642633,-0.3038960162007504,0.6762011152582932,-0.702732423645048
Ethiopia,-0.7543463161147894,-1.6258333732311896,-1.4208145096020268,-0.7678123771630515,0.03905338488917383,0.04700238206649263,0.058801341542223495
Sierra Leone,-0.7587130896894261,-1.2797584313589478,-0.1297355360147657,-2.550854237195146,-0.1341466802897547,-0.17693900622420336,-0.46288386112736346
Mauritania,-0.8207212744492685,-0.9725800208361203,-0.4477965952551025,-1.0989227041843332,-1.236256520324867,-0.14441738057183573,0.25982759418382556
Kenya,-0.8355683046030338,-1.1942505591896684,0.028322049120828367,-0.8738518658313998,-0.042901435224227,1.0902992904338271,-0.7083974817385535
Djibouti,-0.8792360403494016,-1.0068625503800552,-1.4648356581682471,-1.082045426789409,0.2131824925633148,-0.44492667391786295,1.1465758051731396
Armenia,-0.8958297799330216,-0.19330984493657197,-0.7854634037317709,0.40327640322575,-1.5272459018611129,-1.2530732841822778,-0.8699349470813079
Botswana,-0.9115501648017139,0.36567895444333604,0.41705926431610596,-2.357554772355439,0.4402006622863472,-1.047366108332594,-0.15563776923253161
Myanmar,-0.9333840326748974,-1.4265134565267625,-1.035344919279472,-0.5981896683809721,0.07667960594528592,4.409241698636366,0.390873717435065
Georgia,-0.9421175798241717,-0.2585756446689113,-2.2228144839811006,0.40068612563995837,-0.15159940716410628,-1.4352575366232108,1.9985005708229628
Malawi,-0.9464843533988083,-2.059177446026415,-2.1283837966480585,-1.63770044202901,0.012774754310301796,0.7418758544397732,-0.6135910683501808
Sri Lanka,-0.9648248024122829,-0.027032134710090944,0.10281655324164615,0.31488318061060777,0.7209705763752535,1.3496829358068363,-0.430143157734015
Cameroon,-0.9814185419959027,-1.0508940192226637,-0.3795436217900458,-1.6037030487154937,0.42785766913566475,-0.24561331282022208,-0.712812894664374
Bulgaria,-1.011112602303433,0.41184377895944513,0.4225664972476591,0.5513674295759358,-0.8145375876765568,-0.9321195708266312,-1.1221966515979973
Egypt,-1.0320731154616896,0.0884667491948018,-0.8960119261111607,-0.05317907509548392,-1.6970615979503378,-0.9818492411203,-0.6679922879834034
Yemen,-1.1342556171081906,-0.7433187053187194,-1.138587179303,-0.9293404684895318,-0.4837984593808556,-1.1523509678414503,-0.540528480879528
Angola,-1.172683224564994,-0.2191829840931017,-0.4796651164856935,-1.8756417221363457,-2.15521226844663,-0.8987296493437393,-0.6015111650625585
Mali,-1.205870703732234,-1.452163337531414,0.1623313837886377,-1.7177966817521633,-0.26573891371880237,-0.3892768047797098,-0.16580154992970336
Congo (Brazzaville),-1.2111108320217983,-0.41545170605519577,-1.2047841191402766,-1.2941244041261057,-0.09260520871810375,-0.8952564660216418,-0.2212857953749197
Comoros,-1.2399315376144011,-1.505943745672696,-0.7281147514711904,-1.0810740726947372,-1.323520154696626,-0.49639293587258054,0.46301989844941543
Uganda,-1.261765405487585,-1.5755010632133573,0.5211459667224723,-1.180395028874938,0.19015551071768735,0.42123788502249865,-0.5894312617749364
Senegal,-1.285345982790624,-1.1935807847340343,-0.054543449055951,-0.7886560171112191,-0.40409988532725694,-0.22785271628676892,-0.3023461119187569
Gabon,-1.2923328205100428,0.5311132449849445,-0.31488870717360423,-0.7954554957739225,-0.7264776311660441,-1.3346141562669762,-0.2708550536930936
Niger,-1.336873910971338,-1.9268101684240722,-0.8018382429815909,-1.3485202334277318,0.32055326093860476,-0.34278350985435924,0.10803736114901458
Cambodia,-1.3595811335594494,-0.9569271437433394,-1.3352688247318913,-0.07738198128772521,1.551800007808275,1.3126619590326607,-0.5910974553318498
Tanzania,-1.392768612726689,-1.391486733143234,0.04271428451528908,-1.0041752068665455,-0.6625064193528305,0.8404668991965865,-0.7160619721003552
Madagascar,-1.480104084219425,-1.5823972594602558,-1.1860228122867835,-0.6599111264799152,-1.5712427000272544,-0.18917408383613774,-0.518034867861197
Central African Republic,-1.4827241483642073,-1.904236288623073,-3.638613926024951,-2.279725025519854,0.39932279249699093,0.008323749615861424,-0.5042887710166615
Chad,-1.4923310502284084,-1.2507596780761259,-0.8460062510926523,-1.9433531971524325,-1.284765810610613,-0.4217984304320774,-0.7558839981105855
Guinea,-1.501937952092609,-1.666912873176744,-1.9322895893985332,-1.5791358847377504,-0.34085863547456785,0.3889530673239106,-0.1835465113108312
Ivory Coast,-1.5028113068075366,-0.944623138928729,-0.8073454759131445,-1.936270406878783,0.2657397537210589,-0.2813713138409078,0.2982333556706796
Burkina Faso,-1.5621994274225968,-1.4586626303971963,-0.5109461995369193,-1.4530217447795164,-0.22353384036485674,-0.1564945862145839,-0.1258129045637818
Afghanistan,-1.5726796840017252,-1.305606764054158,-2.5267035971442393,-1.3231031346171505,-1.2905391461165774,1.0088373543337221,-0.38515593169735307
Rwanda,-1.668748702643735,-1.5480651169936814,-0.7979831799295029,-0.8160158241111442,1.084292552181627,-0.08695198378804056,3.4031017393009626
Benin,-1.777918042009655,-1.3878897962518661,-2.3394209625852,-1.2593580221543075,0.37085427603654625,-0.43174436449081105,-0.5275321711356035
Syria,-2.0696185167953933,-0.4538024952555747,-1.8950606947812294,0.3710193526651874,-1.8035033238304152,1.8510053739577739,0.3802100786708192
Burundi,-2.157827343003057,-2.0610131241640786,-2.111751953194766,-1.6444189745171574,-2.0579282471622204,-0.3159452750926966,-0.3565807121962882
Togo,-2.215468754188262,-1.5813057751621855,-3.124789093510982,-1.3996782157471181,-0.4252687821824591,-0.5563842841633556,-0.3008465377175348
